"first_touch_date","users_d0","retention_d1","retention_d7","retention_d30"
2019-10-01,190188,0.17278692661997602,0.11778871432477338,0.07711317222958336
2019-10-02,152103,0.13593420248121338,0.09662531311019507,0.07669145250258048
2019-10-03,124262,0.14715681382884552,0.08601986126088426,0.07146995863578567
2019-10-04,143216,0.12341498156630544,0.09140738464975981,0.06977572338286225
2019-10-05,124922,0.11553609452298234,0.07289348553497382,0.06756215878708315
2019-10-06,117020,0.10203384036916767,0.07355152965305076,0.05908391727909759
2019-10-07,105832,0.11557940887444251,0.06557562929926676,0.05590936578728551
2019-10-08,127193,0.10419598562813992,0.06612785294788236,0.06053006061654336
2019-10-09,114997,0.09972434063497308,0.05981025591971965,0.05320138786229206
2019-10-10,103187,0.10646689990018122,0.0531365385174489,0.047476910851173115
2019-10-11,111968,0.09575950271506145,0.062160617319234064,0.048621034581308946
2019-10-12,94978,0.12346016972351492,0.05546547621554465,0.04863231485186043
2019-10-13,95967,0.09359467316890181,0.055998416122208676,0.045140517052736875
2019-10-14,83035,0.10535316432829529,0.05255615102065394,0.049220208345878244
2019-10-15,92943,0.10099738549433523,0.04808323380996955,0.05144012997213346
2019-10-16,97179,0.08910361292048694,0.042179894833245864,0.06612539746241472
2019-10-17,80882,0.0963255112385945,0.04298855122276897,0.08135308226799536
2019-10-18,87762,0.09017570246803856,0.05018117180556505,0.08290604133907614
2019-10-19,84636,0.0954676496998913,0.042003402807316036,0.039652157474360794
2019-10-20,91256,0.08501358814762865,0.03813447882878934,0.03245813973875691
2019-10-21,88674,0.0885828991587162,0.03403477907842208,0.03248979407718159
2019-10-22,87351,0.0865130336229694,0.034870808576890934,0.03116163524172591
2019-10-23,83375,0.08053973013493253,0.03389505247376312,0.028077961019490255
2019-10-24,76892,0.08361077875461687,0.03331946106226916,0.027037923321021694
2019-10-25,75203,0.07922556280999428,0.04162068002606279,0.027246253473930563
2019-10-26,68384,0.08551708001871783,0.04145706598034628,0.02689225549836219
2019-10-27,68147,0.0840095675524968,0.04422791905733194,0.025577061352664094
2019-10-28,63457,0.08530185795105347,0.047480971366437114,0.02675827725861607
2019-10-29,63387,0.08549071576190702,0.043920677741492734,0.026488081152286746
2019-10-30,61893,0.08653644192396555,0.04260578740729969,0.030859709498650897
2019-10-31,62001,0.09180497088756633,0.04687021177077789,0.027644715407816003
2019-11-01,67138,0.08993416545026661,0.04733533915219399,0.028523339986296883
2019-11-02,73479,0.09127778004599954,0.04397174702976361,0.026442929272309096
2019-11-03,71500,0.0927972027972028,0.04724475524475524,0.027566433566433568
2019-11-04,79544,0.09421200844815449,0.04881574977371015,0.025382178416976767
2019-11-05,74981,0.09219668982808979,0.04782544911377549,0.02703351515717315
2019-11-06,72463,0.09604901811959207,0.04398106619930171,0.026082276472130603
2019-11-07,81091,0.08793824222170155,0.04872303954816194,0.024281362913270276
2019-11-08,93664,0.09246882473522378,0.052645626921762896,0.02905064912880082
2019-11-09,82809,0.09957854822543444,0.06362834957552924,0.02709850378582038
2019-11-10,84347,0.08896581976833794,0.06284752273347007,0.02669923055947455
2019-11-11,89395,0.10087812517478606,0.05094244644555065,0.029129145925387324
2019-11-12,83288,0.1011790413985208,0.040462011334165784,0.02805926423974642
2019-11-13,82741,0.10244014454744323,0.03973846098065047,0.024232242781692268
2019-11-14,74680,0.12846813069094803,0.03887252276379218,0.023419925013390467
2019-11-16,94056,0.2418027558050523,0.04261291145700434,0.05562643531513141
2019-11-17,89726,0.11431469139379889,0.041593295142990885,0.04913848828656131
2019-11-18,79961,0.10254999312164681,0.043308612948812546,0.03679293655657133
2019-11-19,86522,0.10321074408820878,0.03314763875083794,0.028882827488962346
2019-11-20,93874,0.10457634701834374,0.02981656262649935,0.025449006114579117
2019-11-21,92477,0.08737307654876347,0.029055873352293003,0.02187570963590947
2019-11-22,64306,0.08513980032967375,0.040260628868223805,0.02799116723167356
2019-11-23,71173,0.08680257962991583,0.03280738482289632,0.02839559945484945
2019-11-24,63070,0.08582527350562867,0.03535753924211194,0.027081021087680356
2019-11-25,70525,0.08140375753278979,0.02990428925912797,0.028415455512229706
2019-11-26,58918,0.08618758274211616,0.03703452255677382,0.030550935198071897
2019-11-27,59748,0.0868648322956417,0.034595300261096605,0.02845283524134699
2019-11-28,60338,0.09695382677582949,0.036013788988697004,0.021727601180019224
2019-11-29,67229,0.08457659640928766,0.03502952594862336,0.027547635692930134
2019-11-30,59650,0.0930092204526404,0.037753562447611064,0.029170159262363788
2019-12-01,61940,0.08798837584759445,0.03781078463028738,0.02344204068453342
2019-12-02,56472,0.0835635359116022,0.03575223119422014,0.021532795013457996
2019-12-03,64030,0.08153990317038888,0.03923161018272685,0.02119319069186319
2019-12-04,55844,0.088317455769644,0.039950576606260293,0.022097270969128287
2019-12-05,58213,0.08637245975984746,0.03851373404565991,0.0207170219710374
2019-12-06,61872,0.08503038531161107,0.036898758727695886,0.02396883889319886
2019-12-07,61788,0.09011458535637988,0.037661034505081896,0.022285880753544377
2019-12-08,63284,0.08352822198343973,0.040736995133051006,0.021126983123696354
2019-12-09,65371,0.08990225023328387,0.03923758241422037,0.021186764773370455
2019-12-10,70460,0.09066136815214305,0.039185353391995456,0.019216576781152427
2019-12-11,71316,0.0875960513769701,0.041996185989118855,0.018537214650288854
2019-12-12,82881,0.07682098430279558,0.03625680192082625,0.01853259492525428
2019-12-13,77997,0.07316948087746965,0.0338089926535636,0.01809043937587343
2019-12-14,72887,0.0893300588582326,0.03428594948344698,0.017341912823960377
2019-12-15,82753,0.09061907121191981,0.038693461264244194,0.016978236438558118
2019-12-16,83688,0.09811442500716949,0.039993786444890544,0.018174648695153426
2019-12-17,92468,0.09165332871912446,0.0371696154345287,0.018676731409785007
2019-12-18,102019,0.09138493809976574,0.04012977974690989,0.018467148276301474
2019-12-19,94256,0.08751697504668138,0.03790740112035308,0.02030639959259888
2019-12-20,84165,0.08217192419651874,0.034408602150537634,0.023156894195924673
2019-12-21,76619,0.09791305028778763,0.032146073428261916,0.02062151685613229
2019-12-22,103541,0.08654542644942582,0.03452738528698776,0.017287837668170096
2019-12-23,119268,0.08068383807894824,0.04026226649226951,0.016559345339906766
2019-12-24,107964,0.0866770404949798,0.03233485235819347,0.015745989403875366
2019-12-25,106054,0.08730458068531126,0.02479868746110472,0.013851434175042903
2019-12-26,102587,0.08040979851248209,0.028492888962539112,0.014192831450378703
2019-12-27,87750,0.06831908831908833,0.026985754985754985,0.015076923076923076
2019-12-28,53910,0.10767946577629382,0.035744759784826566,0.01788165460953441
2019-12-29,89522,0.09802059828868881,0.03260651013158777,0.015895534058667143
2019-12-30,129751,0.08736734206287428,0.029333107259288945,0.013741705266240722
2019-12-31,99319,0.08064922119634713,0.027235473575046062,0.015304221750118306
2020-01-01,74345,0.09240702131952384,0.027722106395857152,0.016477234514762257
